time,post_id,post_content,post_type,like,share,company
2017-07-13 12:08:00,fb.com/360450250740751_1339860139466419,"吃飯補足元氣，20000 小米行動電源 2 代同樣給你的手機帶來滿滿的能量！
超大容量配合雙 USB 接口輸出，連電力都可以跟他/她分享⚡

@今天一起吃飯的人吧😎",,244,5,MI
2017-07-12 18:00:05,fb.com/360450250740751_1352899068162526,"【 小米盒子 x LiTV線上影視 電視頻道免費看 🎉 】
狂賀小米盒子開賣以來銷量破4.5萬台，7/12-7/19 限時折扣$100，並在8月底前加碼送 LiTV頻道享樂餐3個月 (價值$504)，新聞、體育、綜藝...100個以上電視頻道免費看！7/12開始OTA系統升級，預計一週內完成，如果OTA尚未更新也可至Google Play 商店手動下載LiTV再註冊會員，一樣可以免費看！

✔️ 購買小米盒子後，更新系統+註冊成為LiTV會員，就能免費獲得LiTV頻道享樂餐，舊用戶也可以喔。更新步驟：
① 主畫面往下拉，點選 「 設定 」
② 選擇 「 關於 」
③ 選擇 「 系統更新 」進行更新，更新完成後重新開機
④ LiTV 圖示出現在Mi Box Recommends，
⑤ 點擊圖示下載安裝 LiTV 
⑥ 註冊LiTV會員，就可以享受看不完的電視頻道啦～
✔️ 7/12開始OTA系統升級，預計一週內完成

手把手和你一起更新 ▶️ bit.ly/2t7W6HP 
趕快告訴身邊親朋好友這個大好康～把握機會入手台灣最熱賣的 #小米盒子 😎",小米台灣 Mi Taiwan updated their cover photo.,204,11,MI
2017-07-12 13:49:20,fb.com/360450250740751_1350866375032462,小米盒子贈送LiTV 更新步驟,小米台灣 Mi Taiwan published a note.,111,2,MI
2017-07-12 12:24:00,fb.com/360450250740751_1350805741705192,"【 小米盒子 x  LiTV線上影視 電視頻道免費看 🎉 分享抽盒子 】
狂賀小米盒子開賣以來銷量破4.5萬台，7/12-7/19 限時折扣$100，並在8月底前加碼送 LiTV頻道享樂餐3個月 (價值$504)，新聞、體育、綜藝...100個以上電視頻道免費看！ 
 
👉🏻 分享 + @朋友留言 「 小米盒子 x LiTV 電視頻道免費看，讓你看到停不下來！ 」，就抽 3 個小米盒子，7/19截止。 
 
✔️ 購買小米盒子後，更新系統+註冊成為LiTV會員，就能免費獲得LiTV頻道享樂餐，舊用戶也可以喔。 7/12開始OTA系統升級，預計一週內完成，如果OTA尚未更新也可至Google Play 商店手動下載LiTV再註冊會員，一樣可以免費看！
更新步驟：

① 主畫面往下拉，點選 「 設定 」
② 選擇  「 關於 」
③ 選擇  「 系統更新 」進行更新，更新完成後重新開機
④ LiTV 圖示出現在Mi Box Recommends，
⑤ 點擊圖示下載安裝 LiTV  
⑥ 註冊LiTV會員，就可以享受看不完的電視頻道啦～

手把手和你一起更新 ▶️ bit.ly/2t7W6HP 
趕快告訴身邊親朋好友這個大好康～把握機會入手台灣最熱賣的 #小米盒子 😎",,1368,1148,MI
2017-07-11 12:05:00,fb.com/360450250740751_1351640414955058,"【 #小米橙色跑台灣站 來了！ 7月12日中午開始報名 】

🎉 報名送： 報名就送小米行動電源 5000、橙色跑束口袋、T恤、多彩手環等多樣好禮，還會捐出NT$100給 陽光基金會，一塊挺陽光！

🎉 線上抽：8月4日前分享po文+留言，就有機會抽小米手環 2、小米頭戴式耳機 升級版 ▶️ bit.ly/2tHt57T

🎉 開跑贏：跑步贏大獎，現場抽小米6、小米Max 2、米家掃地機器人等大獎  

🎉 趣味玩：水槍大戰、泡沫地帶...還有超萌大型米兔出沒，各種趣味關卡與驚喜等你來體驗！

限額1000名，相招好友跟小米一起奔跑，一塊挺陽光！

活動詳情請見 ▶️  bit.ly/2tCcDHN",,1653,596,MI
2017-07-10 12:12:00,fb.com/360450250740751_1346894915429608,"【 小米旅行季 7/4-7/11 💦  】
小米路由器Pro，打造全新一代的智慧家庭中心，夠快夠強，現在現買現省200。做個小調查，你們家最多曾經有多少裝置同時上網？

小米旅行季最後兩天，趕緊把握！優惠商品再用現金券省更多，每天早上10點記得登入小米帳號天天領取現金券！
快＠朋友 #和小米一起去旅行

💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",,248,5,MI
2017-07-09 12:44:00,fb.com/360450250740751_1346898218762611,"【 小米旅行季 7/4-7/11 💦  夏日小物 】
你想遇見怎麼樣的夏天？
小米圈鐵耳機帶來美聲，還是小米自拍桿留下的回憶？
小米 2 Port USB充電器讓你有個分享的假期，還是小米手環記錄走過的一步？
小米隨身風扇吹過的沁涼，還是小米頭戴式耳機升級的震撼音質？

現在，你通通能擁有！

#小米旅行季 提供超多優惠，現在還有折上折！優惠商品再用現金券省更多，每天早上10點記得登入小米帳號天天領取現金券！
快＠朋友 #和小米一起去旅行
💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",小米台灣 Mi Taiwan added 6 new photos.,258,3,MI
2017-07-08 12:33:00,fb.com/360450250740751_1347890915330008,"小米Max 2 大螢幕更大電量，5300mAh 行動電源級的大電量，還可以幫其他手機充電*！

做個小調查：手機還有___%電量你會充電？ 

下週四 7/13 中午 mi.com 開賣！ 

*搭配使用Type C OTG 轉接線",,683,8,MI
2017-07-07 11:54:00,fb.com/360450250740751_1346922128760220,"【  小米旅行季 7/4-7/11 💦   】
夏天想爽爽待在家，必備米家三寶現在通通有優惠：

🔅米家LED智慧檯燈省100元，限時價$895
🔅米家掃地機器人 $8,895，送虛擬牆 (價值＄255)
🔅小米空氣淨化器 2 省300元，限時價$3,695

@你最需要三寶的朋友吧！

#小米旅行季 提供超多優惠，現在還有折上折！優惠商品再用現金券省更多，快把三寶帶回家！

💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",,202,7,MI
2017-07-06 11:50:00,fb.com/360450250740751_1345045925614507,"旅行中需要…
🗨️電量？小米行動電源2 10000
🗨️音樂？小米頭戴式耳機 輕鬆版、隨身藍牙喇叭
🗨️背包？小米極簡都市雙肩包、小米多功能都市休閒胸包
#小米旅行季 提供超多優惠，現在還有折上折！優惠商品再用現金券省更多，每天早上10點記得登入小米帳號天天領取現金券！

快＠朋友 #和小米一起去旅行

💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",小米台灣 Mi Taiwan added 7 new photos.,339,4,MI
