貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2017-07-13 04:00:00+00:00,219449834741698_1641820065837994,"華為貼心提醒，運動時請隨身攜帶以下配備：
隨身水瓶補充流失水分💧
小毛巾擦汗保持全身清爽👣
護腕護膝哪裡需要護哪裡⛑
最重要的 … 就是↓↓↓
 
HUAWEI FIT 你的專屬運動好夥伴！
 
更多產品資訊介紹：https://goo.gl/NpYXQ2
FIT銷售據點：全省中華電信/ 遠傳電信/ 神腦國際門市 (PChome即將上市)
※到貨時間以門市實際銷售狀況為準",,27,2
2017-07-12 04:00:00+00:00,219449834741698_1641840992502568,"傳說中外國的月亮比較圓？
羨慕阿兜仔臉上輪廓比較立體深邃？

換上《HUAWEI P10 Plus》體驗看看它的拍照神奇吧👏👏
P10 Plus相機有智慧補光，可以對人物臉部光線自動調整
令五官更加立體，就跟海報主角一樣出色有型！

#HUAWEIP10Plus
#人像攝影大師
#拍人除了好看更要立體才美
#黑白模式拍起來效果更明顯唷",,61,2
2017-07-11 10:00:00+00:00,219449834741698_1641786255841375,"最近新入手的《HUAWEI FIT》運動手錶🕶
一下班當然要立刻衝去健身房體驗新玩具囉

FIT可以選擇多種運動模式，提供各類型運動數據
(1)心律偵測❤
(2)跑步距離👣
(3)消耗卡路里🔥
(4)最大耗氧量💨
有時候運動過量超出身體負荷，還會貼心體醒我
根本就是PRO級的專屬運動教練啊！

#HUAWEIFIT
#最時尚有形的運動手錶FIT
#IP68防水防塵還能待機長達6天唷",,69,5
2017-07-10 04:00:00+00:00,219449834741698_1641747979178536,"今天小編我想分享一則「志明的愛情故事」🌹
曾經，我以為「她」會是我的春嬌
每當我在外跑業務時，我以為貼心的「她」
會細心的幫我導航好路線、收下每一封信件✉
會耐心的陪我聽客戶嘮叨、還有各種訊息轟炸
事實是，熱情總是短暫，「她」不到半天就離我而去了🥀

現在，我遇見了「妳」，一整天不曾離我而去
「妳」的3,750mAh長效電力和快速充電
謝謝「妳」HUAWEI P10 Plus💑

#HUAWEIP10Plus
#3750mAh大容量電池
#志明就愛春嬌這款大電量的",,71,2
2017-07-10 01:00:00+00:00,219449834741698_1641784589174875,"HUAWEI P10 Plus 人像攝影大師 
#好康抽獎活動來囉📣

不管是拍女友、拍寵物、拍風景、拍美食
還是你要各種喬角度拍出最美最帥的自己
相信體驗過的都會對P10 Plus拍照實力愛不釋手！

✨參加方式✨
Step 1：按讚+分享這則貼文
Step 2：留言處Show出你最得意的攝影作品
💓貼心提醒：Mate 9、Mate 9 Pro、P9、P9 Plus、P10、P10 Plus系列皆可參加，別忘了要開浮水印唷！
 
🎁贈送獎品🎁
精美保溫瓶 共3個，每人限領1個

📣活動時間📣
即日起至7月17日中午12點止

📣開獎時間📣
7月17日下午4點，共抽出3名

⚠注意事項⚠
●領獎時參加者的FB帳號姓名及大頭照，FB動態內容，領獎確認書身分證，皆需可清楚辨識身份，不符合者失去資格，另外盜用他人身分與圖片者須自行承擔任何法律責任。並請務必確認參加分享留言格式及內容完整，以免喪失抽獎資格。
 
●為確保活動公正性，避免一人使用多重FB身分帳號重複參加情況，參加者僅限使用個人真實FB帳號，不符者失去參加獲獎資格。（單純為分享網址、更換大頭照、封面海報的動態皆無納入計算）。
 
●本活動得獎者需在得獎公布後一週內以FB私訊方式通知小編領取「領獎確認書」下載，並提供自活動日算起，過往90天內一篇「公開且原創的」個人圖片+文字的FB動態網址連結作為驗證，逾期視同放棄得獎資格，並不予遞補得獎名額。
 
●如有與此活動無關之留言，主辦單位保留刪除留言之權利。
 
●華為台灣官方粉絲團之活動僅限居住於台澎金馬地區之設籍居民參加。
 
🛎以上活動內容，華為台灣粉絲團保留擴大、修改、取消、終止該活動以及更改活動截止日期的權利，無需做出解釋或通知。",,500,53
2017-07-09 03:00:00+00:00,219449834741698_1633684489984885,"現在去熱門景點，以往是看風景，現在卻都變成是看一根根比誰長的自拍棒！

自拍有必要著麼累嗎？HUAWEI P10 Plus 自拍只要偵測到鏡頭內有比較多人，就會自動開啟智慧廣角，三五好友輕鬆入鏡不落單，自拍嘛~省力點聰明點，最好是能站在側邊點 (Sorry … 小編臉比較大 … 側邊比較瘦啦)

#HUAWEIP10Plus #人像攝影大師 #智慧廣角自拍好輕鬆",,393,3
2017-07-08 03:00:00+00:00,219449834741698_1633684643318203,"最近最火紅的餐廳，大概就是傳說中白飯一碗要58元的一蘭拉麵了吧！！！

小編今天也來朝聖一下，想說來跟大家分享一下如何用P10 Plus拍出漂亮的美食照片，只是現場直擊這驚人的排隊人潮 … 我 … 好想插隊啊 … 究竟我有沒有吃到？點圖就知道啦！",,73,1
2017-07-07 04:00:00+00:00,219449834741698_10203316321744816,"《HUAWEI P10 Plus Tips教學》

今天小編來跟大家分享幾個攝影小技巧囉~🤓🤓

✨第一堂：如何輕鬆拍出最美自拍照
首先開啟「人像模式」拍攝目標對象，並且左右滑動下方「美肌模式」的效果強弱，P10 Plus美肌效果拍出來並不會像是一般很誇張美白夢幻感，反而多了點真實卻又能修飾皮膚小細節的效果唷！
 
 
✨第二堂：如何輕鬆拍出文青風格照片
首先開啟「黑白模式」+「寬光圈」，並且試著從側邊取景拍出一點不規則的氛圍，搭配一些書本或是木質的情境，再搭配一些感性文案，是不是讓你也能瞬間變成文青風路線！
 
 
大家也有屬於自己的攝影小撇步嗎？說來聽聽吧！",,88,2
2017-07-06 13:00:41+00:00,219449834741698_1640967345923266,"T2 8 Pro也更新囉！
這次的更新讓你的T2 8 Pro更安全，使用起來更穩定唷！

👉開放更新時間：
今日起陸續開放，預計7 月20日全網開放。

👉OTA開放版本：
From JDN-L01C209B006 to JDN-L01C209B007

👉升級內容通知：
升級到JDN-L01C209B007，升級提示：
1.新版本優化了平板功能及使用者體驗，推薦您升級使用。 
2.當更新軟體時需要作資料傳輸，會產生額外的通訊費用，建議您連接到Wi-Fi網路進行軟體升級。
3.在升級期間，為避免升級失敗導致您寶貴的個人資料消失，建議您先將資料備份到SD卡。
4.在升級期間，請確保您的電池電量保持30％以上。
  
🌸修復🌸
合入Google最新安全補丁，增強系統穩定性。

⚠更新注意事項⚠ 
1. 本次更新不會刪除您的使用者資料，但仍建議您在更新前做好資料備份。 
2. 更新完成後系統將重新開機，請您耐心等待 5 分鐘左右。 
3. 更新過程中，如果遇到任何問題，請洽詢華為客戶服務專線 0800-888-575。",,55,1
2017-07-06 11:00:00+00:00,219449834741698_1640822222604445,"久等了~Mate 9 Pro也更新囉！
這次的更新讓你的手機更省電！趕快來更新吧~

👉開放更新時間：
今日起陸續開放，預計7 月20日全網開放。

👉OTA開放版本：
From LON-L29C636B182  To  LON-L29C636B225

👉升級內容通知：
親愛的使用者，本次更新最佳化系統性能和穩定性，推薦您更新體驗。
  
🌸最佳化🌸
最佳化手機耗電性能，延長續航時間最佳化系統性能和穩定性，讓您的手機運行更加流暢、穩定，新增 Google 安全修正檔，提高系統安全性。

⚠更新注意事項⚠ 
1. 本次更新不會刪除您的使用者資料，但仍建議您在更新前做好資料備份。 
2. 更新完成後系統將重新開機，請您耐心等待 5 分鐘左右。 
3. 更新過程中，如果遇到任何問題，請洽詢華為客戶服務專線 0800-888-575。",,101,2
2017-07-06 06:15:28+00:00,219449834741698_1640687572617910,"什麼嘛~你明明就亂畫…(笑翻)🤣
T3 的兒童天地APP有多好玩?讓調皮的菜包、肉包玩得不亦樂乎~
趕緊觀看影片吧！
------
銷售據點：全省中華電信/ 神腦國際門市※到貨時間以門市實際銷售狀況為準
更多產品資訊介紹：https://goo.gl/Yu2QCo

#華為T3教你玩出家的情感
#兒童天地APP
#更方便管理孩子的使用時間",Huawei Mobile shared 菜朝's video.,30,0
2017-07-06 04:00:00+00:00,219449834741698_1631032160250118,"12:00 PM 令人心酸的午餐。😭😭
 
N年前，七月也曾經是小編我最愛的月份，因為學生可以放暑假了！！！But …就是這個But …
小編現在人正在吃著午餐，看著店家外面悠哉放假的年輕學生們，而我卻只能快速吃完午餐，回到座位繼續想著更有梗更有趣的貼文分享給大家 ….
 

只能說：「還沒放假的午餐，吃起來都是黑白的！」和我感同身受的粉絲們，不妨一起一人一張黑白午餐照，貼在下方留言乎想共勉之吧
 
#HUAHWEIP10Plus #人像攝影大師 #黑白模式也好拍",,62,4
2017-07-05 11:30:00+00:00,219449834741698_1639753786044622,"HUAWEI T2 7.0 開放更新囉！
這次的更新讓你的平板更穩定❤

👉開放更新時間：
今日起陸續開放，預計7 月19日全網開放。

👉OTA開放版本：
From BGO-L03C158B001  to  BGO-L03C158B005

👉升級內容通知：
升級到 BGO-L03C158B005
  
🌸修復🌸
新增Google最新安全補丁，增強系統穩定性。

⚠更新注意事項⚠ 
1. 本次更新不會刪除您的使用者資料，但仍建議您在更新前做好資料備份。 
2. 更新完成後系統將重新開機，請您耐心等待 5 分鐘左右。 
3. 更新過程中，如果遇到任何問題，請洽詢華為客戶服務專線 0800-888-575。",,47,2
2017-07-05 11:00:00+00:00,219449834741698_1639752569378077,"HUAWEI Mate 9 開放更新囉！
這次的更新讓你的手機更省電！趕緊來更新吧🎈

👉開放更新時間：
今日起陸續開放，預計7 月12日全網開放。

👉OTA開放版本：
From MHA-L29C636B172  to  MHA-L29C636B183

👉升級內容通知：
親愛的使用者，本次更新新增了關鍵字搜尋圖庫，和夜間閒置時自動安裝已下載新版本的功能，推薦您進行更新。
 
🌸新增🌸
新增使用關鍵字搜尋圖庫圖片的功能新增 夜間閒置時自動安裝已下載新版本的功能
 
🌸優化🌸
優化系統整體功耗，手機更省電，待機更持久
整合Google 安全性修補程式，增強系統安全性
 
⚠更新注意事項⚠ 
1. 本次更新不會刪除您的使用者資料，但仍建議您在更新前做好資料備份。 
2. 更新完成後系統將重新開機，請您耐心等待 5 分鐘左右。 
3. 更新過程中，如果遇到任何問題，請洽詢華為客戶服務專線 0800-888-575。",,198,7
2017-07-05 04:00:00+00:00,219449834741698_1631030890250245,"想拍攝遠處美景時，卻只能因為zoom in特寫而忍受模糊的畫質嗎？🤔
 
 
HUAWEI P10 Plus支援2倍無損變焦同時搭配OIS光學防手震，讓你捕捉更多細節的美好，再也不用擔心因為數位變焦而造成的畫質低落。
 
 
我只能說 … 攝影新手如小編我，用P10 Plus來拍照，放在IG上也是能騙到一些國外粉絲留言：Nice Photo、So pretty、I like your photo style …(心虛)😜😜

#HUAWEIP10Plus #2倍無損變焦 #人像攝影大師 #OIS光學防手震",,97,5
2017-07-04 04:00:00+00:00,219449834741698_1633750449978289,"HUAWEI MediaPad T3 親子互動最佳玩伴選擇！

透過濾藍光護眼螢幕，降低長時間觀看螢幕對視力的影響，同時搭配內建兒童天地App，畫布功能可與小朋友一同隨手塗鴉，更可以設定限制寶貝觀看的內容與使用時間，孩子開心，家長放心。

銷售據點：全省中華電信/ 神腦國際門市
※到貨時間以門市實際銷售狀況為準

更多產品資訊介紹：https://goo.gl/Yu2QCo

#HUAWEIMediaPadT3
#8吋HDIPS螢幕
#4800mAh長效電量",,57,1
2017-07-03 04:00:00+00:00,219449834741698_1631024743584193,"有一種職業叫「男朋友」，而這份職業的人，都有個共同心聲：「為什麼女友總嫌我拍照拍不好 …」，明明都是用手機拍照，真搞不懂女友自拍跟我拍得有什麼差別？？？😤

工欲善其事，必先利其器，換成HUAWEI P10 Plus，人像攝影模式讓每個男友輕鬆變成攝影大師！

另外小編不藏私分享如何幫女孩拍出美照的撇步，口訣很簡單！「雙腳前後站，由下往上拍；側臉仰角拍，小臉更可愛」😍

#HUAWEIP10Plus #最佳男友機 #人像攝影大師",,1501,20
2017-07-01 03:00:00+00:00,219449834741698_10203316298224228,"《HUAWEI FIT 讓運動變得更有型》
FIT搭配多種運動模式，提供你各類型運動數據紀錄(心律偵測、最大攝氧量、睡眠品質偵測…等)，輕巧舒適的外型同時兼具時尚質感，還支援IP68防水等級唷！👏👏
  
小編想問問大家對HUAWEI FIT，第一眼印象是 …？
(讚符號👍)  總算有比較時尚造型的運動手環了
(大心符號❤) 心律偵測外，還能看運動的攝氧量好酷
(哈符號😆) 睡眠品質偵測加上久坐提醒，太貼心了
(哇符號😯) 跑步、游泳、騎單車！太適合愛運動的我了
 
 
更多產品資訊介紹：https://goo.gl/NpYXQ2

FIT銷售據點：全省中華電信/ 遠傳電信/ 神腦國際門市 (PChome即將上市)
※到貨時間以門市實際銷售狀況為準

#HUAWEIFIT #智慧運動手環 #IP68防水 #長效電力運動不間斷",,139,10
2017-06-30 13:00:00+00:00,219449834741698_1633958383290829,"和姐妹淘一起出遊，怎麼可以少了錄影和自拍！

這個週末也約一下好久不見的姐妹們，一起來個小約會吧❤

記得帶上HUAWEI P10 Plus，用徠卡鏡頭，紀錄珍貴的每一刻。

#HUAWEIP10Plus #OO
#人像攝影大師
#一出手就是完美之作",,75,3
2017-06-30 09:06:12+00:00,219449834741698_1633885863298081,"HUAWEI MediaPad M3開放更新囉

這次的更新超豐富，趕快讓你的M3平板更佳優化吧！

👉開放更新時間：

從今日起陸續開放，預計7月17日全網開放。

 
👉升級通知內容：

親愛的使用者，安卓 7.0 系統升級帶來了全新變化，本次升級是為搭配安卓 7.0 版本的 EMUI 系統升級，系統版本號將升級至 EMUI 5.0。
EMUI 5.0 全新 UI，源自愛琴海的純淨藍白設計，介面互動簡潔靈動；更強勁的性能，讓平板運行更流暢。

 
👉【推薦】

• 更簡潔的互動介面
全新 UI，整體色調與動畫效果靈感源自藍白相間的愛琴海；介面操作簡化，大部分的操作可在三步驟內完成；保留安卓系統原有的程式集桌面。

• 更強勁的性能
系統運行更流暢，瀏覽海量圖片、網頁、搜尋查詢快人一步。

 
👉【瞭解更多】

• 通知欄
最佳化設計，快捷開關與通知合一，減少跳轉操作；長按通知可快速隱藏通知訊息；卡片式立體呈現，節省空間。

• 立體層疊式工作管理員
各任務立體層疊式呈現，上下滑動，流暢動感，左右滑動刪除任務。

• 相機
新增外掛程式化管理功能，非常用模式則以外掛程式形式呈現。

• 聯絡人
新增個人名片定制功能；新增名片主動分享功能，可透過快速分享、藍牙、Facebook 等各種方式進行分享；全域搜尋框和螢幕鎖定介面新增掃一掃，掃描新增聯絡人更方便。

• 郵件
最佳化收件箱未讀標記；最佳化左滑功能表，可對郵件快速刪除、標星、標記已讀或未讀。

• 設定
新增建議設定項，根據設備目前狀態，給您推薦未完成的關鍵設定項，讓您的平板更符合您的習慣。
新增桌面程式集功能，開啟後，將桌面非系統預設應用程式圖示隱藏於主介面的程式集鍵中，還您清爽整潔的桌面。
新增設定程式集功能，雙層及更深層路徑，可直接返回設定主介面，切換一步到位。
新增緊急資訊，可新增諸如姓名、血型等資訊，以便緊急連絡人在螢幕鎖定介面查看此資訊。
新增護眼模式相關功能，可手動調節螢幕色溫，有助於緩解眼睛疲勞。

 
👉【升級前注意事項】

1. EMUI 5.0 操作方式有較大變化，可能會影響您的使用習慣，詳細操作可進入華為官網「技術支援」查閱產品手冊。

2. 本次更新不會刪除您的資料，但建議您在升級前做好資料備份。

3. 如果在更新期間遇到任何問題，請記錄下設備相關資訊，並洽詢華為客戶服務專線0800-888-575。

4. 升級完成後系統重新開機，請耐心等待 10 分鐘左右，升級成功後平板桌面顯示 EMUI 5.0 預設主題。

5. 由於部分第三方應用程式與Android 7.0不相容，因此升級後可能會出現第三方應用程式無法正常使用的情況。建議您在Google應用程式市集搜尋下載該應用程式的最新版本。

6. 此版本可以還原至 EMUI 4.1 官方穩定版本，還原過程會清除使用者資料。詳細資訊，請撥打客戶服務專線0800-888-575諮詢。",,57,2
2017-06-29 09:00:00+00:00,219449834741698_1632025130150821,"HUAWEI FIT  即將登場！

2017 陪你動一夏！

#HUAWEIFIT #想動隨時型動",,73,4
2017-06-28 11:21:35+00:00,219449834741698_1631053006914700,"身為一個稱職的男友，當然要肩負好攝影師的責任阿👍

就算妳跑得再快再遠，我也會緊緊跟著~

這是專屬於我的男友視角

你的身影，我用徠卡抓住

#HUAWEIP10Plus  #OO
#人像攝影大師
#緊緊抓住女友的好幫手",,94,7
2017-06-28 09:07:41+00:00,219449834741698_1630901653596502,"陪你一起玩樂的最佳夥伴，GR5 2017的更新也來囉

趕快趕快趕快，先更新先享受XDDDD

👉開放更新時間：

從今日起陸續開放，預計7月7日開放全網。
 

 
👉升級通知內容：

親愛的使用者，本次更新最佳化了系統性能和穩定性，推薦您更新體驗。

 
👉【最佳化】

最佳化手機耗電性能，延長續航時間最佳化系統性能和穩定性，讓您的手機運行更加流暢、穩定新增 Google 安全修正檔，提高系統安全性。
 

👉更新注意事項：

1. 本次更新不會刪除您的使用者資料，但仍建議您在更新前做好資料備份。
2. 更新完成後系統將重新開機，請您耐心等待五分鐘左右。
3. 如果在更新期間遇到任何問題，請洽詢華為客戶服務專線0800-888-575。",,55,2
2017-06-28 06:15:19+00:00,219449834741698_1630716720281662,"系統性能和穩定性又要再次提升啦！

HUAWEI P9 這次更新又更威囉，P粉們站出來~

👉開放更新時間：

從今日起陸續開放，預計7月7日開放全網。
 

👉升級通知內容：

親愛的使用者，本次更新最佳化了系統性能和穩定性，推薦您更新體驗。

 
👉【最佳化】

最佳化手機耗電性能，延長續航時間最佳化系統性能和穩定性，讓您的手機運行更加流暢、穩定新增 Google 安全修正檔，提高系統安全性。

 
👉更新注意事項：

1. 本次更新不會刪除您的使用者資料，但仍建議您在更新前做好資料備份。
2. 更新完成後系統將重新開機，請您耐心等待 5 分鐘左右。
3. 更新過程中，如果遇到任何問題，請洽詢華為客戶服務專線 0800-888-575。",,100,3
2017-06-27 03:53:25+00:00,219449834741698_1629490523737615,"徠味就是我的台味！

用HUAWEI P10 Plus記錄台灣傳統文化之美。

用徠卡鏡頭留下稍縱即逝的動人畫面。

#HUAWEIP10Plus  #OO
#徠味就是我的台味 #一出手就是完美之作",Huawei Mobile shared 存摺 攝影's post.,126,0
2017-06-25 04:00:00+00:00,219449834741698_1625336364153031,"炎炎夏日不想外出曬太陽，找個舒服的角落，來杯咖啡，帶上P10 Plus，金屬鑽雕背蓋讓整個下午茶質感大提升！喝個咖啡也要很時尚！

#HUAWEIP10Plus  #OO
#金屬鑽雕背蓋 #一出手就是完美之作",,84,1
2017-06-25 02:21:23+00:00,219449834741698_1626779394008728,"恭喜 伍佰 Wu Bai 老師「釘子花」獲金曲獎 ⟪最佳台語專輯⟫🎉🎉🎉
真的是一出手就是完美之作！！！
＃一起來聽釘子花裡小編最愛的種子吧
＃HuaweiP10Plus
＃第28屆金曲獎最佳台語專輯",,157,6
2017-06-24 04:00:00+00:00,219449834741698_1625335864153081,"今晚出門和朋友聚餐時記得帶上你的HUAWEI P10 Plus，整個局的拍照上傳打卡就靠你了~🥂

小編也想看看大家拍美食的功力如何XDDD

#徠味就是我的美味
#HUAWEIP10Plus  #OO
#分享你的美食照 #一出手就是完美之作",,117,3
2017-06-22 04:00:00+00:00,219449834741698_1624186520934682,"拍照就是要選HUAWEI P10 Plus！

全新智慧廣角自拍，自動對焦、遠近縮放，多人少人都好拍！

連毛小孩也愛不釋手的拍照神器！拍起來就是神氣！

#HUAWEIP10Plus #OO
#反正皆徠卡 #智慧廣角自拍",,112,4
2017-06-21 10:00:00+00:00,219449834741698_1623294421023892,"📣HUAWEI P10 Plus新軟體版本更新

就算已經三鏡皆徠卡了，還是要繼續強化拍照性能阿~
一起朝人像攝影大師之路邁進吧！

🌟開放更新時間：
從今天開始陸續開放升級，預計6 月27日開放全網。

🌟OTA開放版本：
版本升級 from VKY-L29C636B124  to  VKY-L29C636B151

🌟升級通知內容：
親愛的使用者，本次更新新增了相機動態照片功能，並優化了系統穩定性，推薦您更新體驗。
【新增】
新增 相機動態照片功能，支援在普通拍照模式下拍攝動態照片
【優化】
優化 系統整體功耗，手機更省電，待機更持久整合 Google 安全性修補程式，增強系統安全性

🌟更新注意事項：
1. 本次更新不會刪除您的使用者資料，但仍建議您在更新前做好資料備份
2. 更新完成後系統將重新開機，請您耐心等待 5 分鐘左右
3. 更新過程中，如果遇到任何問題，請洽詢華為客戶服務專線 0800-888-575",,114,3
2017-06-21 04:04:19+00:00,219449834741698_1622362327783768,"屬於我的時尚，徠卡生活美學

金屬鑽雕背蓋，不僅手感獨特，而且還不會沾染指紋喔~搭配今夏流行色調，這個夏天就屬HUAWEI P10 Plus最出色！

#HUAWEIP10Plus #OO
#反正皆徠卡",,72,2
2017-06-19 12:00:00+00:00,219449834741698_1621146347905366,"《HUAWEI P10 Plus人像攝影大師巡迴體驗車 - 手機攝影講座》 活動報名 (台北場)

（此為台灣地區粉絲活動）

👉【講座時間】 : 
2017/06/24（六） 15:30PM-16:30PM（15:00開放入場）

👉【主講人】：攝影師 宋美琪

👉【講座主題】:  手機攝影美學

👉【講座地點】: 天地人文創(台北市中正區齊東街74號1F)

👉【華為粉絲團講座開放名額】:共40名，額滿為止

👉【現場開放名額】：共10名，額滿為止

👉【活動報名網址】：https://goo.gl/rXrr1m

👉【報名好康】：

好康一：報名者於講座當天現場報到後，即可獲得精美小禮
好康二：講座當天將現場展出HUAWEI P10 Plus手機供報名者體驗",,99,17
