貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2017-07-13 04:00:00+00:00,1403439883268756_1951568731789199,"最近常常接到粉絲私訊、留言給O編，在網路上有許多以OPPO名義的仿冒網路商店，以低價販售仿冒手機，已經有許多粉絲因此上當、受騙，也因此OPPO Taiwan決定以正式的聲明，想與大家一起檢舉、打擊仿冒品，不讓O粉的權益受損！

即日起，只要你有發現仿冒商品或仿冒網路商店，留言截圖在這篇貼文下，經官方查證為實，且為該仿冒商品或仿冒網路商店檢舉者第一位，我們就會贈送精美小禮給你喔！謝謝大家的支持🙇‍♂️🙇‍♂️🙇‍♂️

【OPPO正式通路】
OPPO體驗店>>http://www.oppo.com/tw/shops
OPPO網路商店>>http://estore.oppomobile.tw/

#打擊仿冒品
#請認明正港OPPO",,944,79
2017-07-12 09:06:47+00:00,1403439883268756_1951462818466457,"一張圖看懂 OPPO R11！
O編親身使用 R11 後覺得真的是太強大了，但有好多小細節要慢慢發現，決定來一張圖告訴大家，簡單說就是好用、好看、好拍，不論你是衝動派、深思熟慮型，R11都能收服你的心😍
🔜我是衝動派買就買>>http://estore.oppomobile.tw/category/A49956
🚶‍♂️我是深思熟慮型要到體驗店逛逛>>http://www.oppo.com/tw/shops

#OPPOR11 #前後2000萬",,1311,37
2017-07-11 12:00:00+00:00,1403439883268756_1950974095181996,"在拍攝 OPPO R11 的現場，田馥甄 Hebe與O編大玩快問快答（羨慕吧😏）
馥甄活潑大聊喜歡用手機拍攝的東西、最上相的角度、如果不當歌手會是.....，當然O編也有幫大家爭取福利，留言回答馥甄最喜歡的演員是誰，並分享此影片就有機會獲得神秘馥甄小禮，限量五名，7/21號抽出！

#OPPOR11 #前後2000萬",,2812,1216
2017-07-11 09:33:54+00:00,1403439883268756_1950973608515378,"暑假了，你們都帶著 R11 去哪裡玩呢？陽光鮮艷的午後最適合拍照了！

#OPPOR11 #前後2000萬",,413,2
2017-07-10 12:01:00+00:00,1403439883268756_1950408968571842,"有沒有想過.....如果OPPO是一位朋友，那他會是怎樣的朋友呢？而時常將OPPO手機帶在身旁的田馥甄 Hebe，對於這位朋友又有哪些形容呢？來聽看看吧！

#OPPOR11 #前後2000萬",,882,48
2017-07-09 12:00:00+00:00,1403439883268756_1947576635521742,"神秘的黑色、經典耐看的金色，你手中的R11是什麼顏色呢？

#OPPOR11 #前後2000萬",OPPO added 2 new photos.,633,12
2017-07-09 09:30:00+00:00,1403439883268756_1947542768858462,"【OPPO R11直出照片】人像均勻、景深恰到好處，你還不拿著 R11 出門拍照嗎？

#OPPOR11 #前後2000萬",,277,5
2017-07-09 06:00:00+00:00,1403439883268756_1947420992203973,"【七月購機好禮】
2017/07/01~2017/08/31於中華電信、OPPO網路商店、OPPO體驗店、PChome24小時購物、udn買東西購物中心、Yahoo購物中心購買 OPPO R11，再至OPPO網站登錄成功者，即可獲得OPPO實用旅行組，還可以參加雙週抽泰國來回機票2名喔！想去泰國渡假嗎？還不快來買OPPO R11！

詳細活動規則及訊息請參考活動頁面，登錄網址：
http://www.oppotwfc.com.tw/ac/cusactivity/2017_R11_CHT_07",,579,10
2017-07-09 04:00:00+00:00,1403439883268756_1947411382204934,"【七月購機好禮】
自2017/07/01 ~2017/07/31於亞太電信直營、加盟門市購買OPPO R11，再至 OPPO 活動網站，登錄成功者，即可獲得夏日最夯OPPO野餐組，野餐不用再手忙腳亂，一箱搞定！

詳細活動規則及訊息請參考活動頁面，登錄網址：
http://www.oppotwfc.com.tw/ac/cusactivity/2017_R11_APTG_07",,403,5
2017-07-09 02:30:00+00:00,1403439883268756_1947420605537345,"【七月購機好禮】
2017/07/01~2017/07/31於台灣之星直營、加盟門市購買OPPO R11，再至OPPO登錄成功者，即可參與登錄送N42六合一LED美顏自拍補光燈鏡頭組，數量有限，送完為止，想要自拍美美不落人後，就要快來登錄喔！

詳細活動規則及訊息請參考活動頁面，登錄網址：
http://www.oppotwfc.com.tw/ac/cusactivity/2017_R11_TS_07",,601,12
2017-07-08 12:08:00+00:00,1403439883268756_1947551628857576,"帶著OPPO R11 ，為心愛的女孩守護她的笑容吧，每一刻的笑都成為永恆的畫面！ 

#OPPOR11 #前後2000萬",,646,13
2017-07-08 09:30:00+00:00,1403439883268756_1947420095537396,"【七月購機好禮】
自2017/07/01~2017/07/31於台灣大哥大直營、加盟門市購買OPPO R11，買就送台灣大哥大「復原者」三個月保固維修服務，登錄成功，更可參加週週抽DJI OSMO Mobile手機手持穩定器2名，讓你拍照穩定又清晰！

詳細活動規則及訊息請參考活動頁面，登錄網址：
http://www.oppotwfc.com.tw/ac/cusactivity/2017_R11_TWN_07",,557,12
2017-07-08 07:00:00+00:00,1403439883268756_1947419375537468,"【七月購機好禮】
自2017/07/01~2017/07/31於遠傳直營加盟或全虹門市購買OPPO R11，現場即送iHere自拍神器，再至 OPPO 活動網站，登錄成功者，還可獲得限量時尚收納包，並且可參加週週抽GOLiFE Care-X 智慧悠遊心律手環！讓你不只拍得美麗，更能照顧健康！

詳細活動規則及訊息請參考活動頁面，登錄網址：
http://www.oppotwfc.com.tw/ac/cusactivity/2017_R11_FE_0707",,928,14
2017-07-08 03:00:00+00:00,1403439883268756_1947411665538239,"入手R11的O粉們站出來!!🙋‍🙋‍️🙋‍️🙋‍
精細噴砂工藝打造而成的R11，加上曲面金屬背蓋設計不僅讓握感更佳，還是一件時尚配件，擁有它可以立即替自己品味加分。你的R11風格是甚麼樣子? 現在就Show出來吧! 

將選出三名得獎者可獲得R11專屬皮套+原廠自拍桿
詳細活動規則請參考下方留言區

 #我的OPPOR11",,1020,17
2017-07-07 12:31:00+00:00,1403439883268756_1947410302205042,"OPPO R11 2倍變焦，輕輕點擊螢幕變焦，讓你離喜歡的人更近一點！

#OPPOR11 #前後2000萬",,345,10
2017-07-07 10:30:00+00:00,1403439883268756_1947397065539699,"【清晰三部曲之三】
你也喜歡自拍嗎？那你一定會需要OPPO R11！無論在室內、室外，都能拍出輪廓立體、自然好膚值的美顏自拍！

#OPPOR11 #前後2000萬",,237,1
2017-07-07 07:24:46+00:00,1403439883268756_1947335785545827,"來看看用OPPO R11專業人像拍出的照片吧，自然的景深、明亮的色調，清晰的畫面，紀錄你這夏每一刻美好時光！

#OPPOR11 #前後2000萬",,495,4
