貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2017-07-13 04:08:00+00:00,360450250740751_1339860139466419,"吃飯補足元氣，20000 小米行動電源 2 代同樣給你的手機帶來滿滿的能量！
超大容量配合雙 USB 接口輸出，連電力都可以跟他/她分享⚡

@今天一起吃飯的人吧😎",,244,5
2017-07-12 10:00:05+00:00,360450250740751_1352899068162526,"【 小米盒子 x LiTV線上影視 電視頻道免費看 🎉 】
狂賀小米盒子開賣以來銷量破4.5萬台，7/12-7/19 限時折扣$100，並在8月底前加碼送 LiTV頻道享樂餐3個月 (價值$504)，新聞、體育、綜藝...100個以上電視頻道免費看！7/12開始OTA系統升級，預計一週內完成，如果OTA尚未更新也可至Google Play 商店手動下載LiTV再註冊會員，一樣可以免費看！

✔️ 購買小米盒子後，更新系統+註冊成為LiTV會員，就能免費獲得LiTV頻道享樂餐，舊用戶也可以喔。更新步驟：
① 主畫面往下拉，點選 「 設定 」
② 選擇 「 關於 」
③ 選擇 「 系統更新 」進行更新，更新完成後重新開機
④ LiTV 圖示出現在Mi Box Recommends，
⑤ 點擊圖示下載安裝 LiTV 
⑥ 註冊LiTV會員，就可以享受看不完的電視頻道啦～
✔️ 7/12開始OTA系統升級，預計一週內完成

手把手和你一起更新 ▶️ bit.ly/2t7W6HP 
趕快告訴身邊親朋好友這個大好康～把握機會入手台灣最熱賣的 #小米盒子 😎",小米台灣 Mi Taiwan updated their cover photo.,204,11
2017-07-12 05:49:20+00:00,360450250740751_1350866375032462,小米盒子贈送LiTV 更新步驟,小米台灣 Mi Taiwan published a note.,111,2
2017-07-12 04:24:00+00:00,360450250740751_1350805741705192,"【 小米盒子 x  LiTV線上影視 電視頻道免費看 🎉 分享抽盒子 】
狂賀小米盒子開賣以來銷量破4.5萬台，7/12-7/19 限時折扣$100，並在8月底前加碼送 LiTV頻道享樂餐3個月 (價值$504)，新聞、體育、綜藝...100個以上電視頻道免費看！ 
 
👉🏻 分享 + @朋友留言 「 小米盒子 x LiTV 電視頻道免費看，讓你看到停不下來！ 」，就抽 3 個小米盒子，7/19截止。 
 
✔️ 購買小米盒子後，更新系統+註冊成為LiTV會員，就能免費獲得LiTV頻道享樂餐，舊用戶也可以喔。 7/12開始OTA系統升級，預計一週內完成，如果OTA尚未更新也可至Google Play 商店手動下載LiTV再註冊會員，一樣可以免費看！
更新步驟：

① 主畫面往下拉，點選 「 設定 」
② 選擇  「 關於 」
③ 選擇  「 系統更新 」進行更新，更新完成後重新開機
④ LiTV 圖示出現在Mi Box Recommends，
⑤ 點擊圖示下載安裝 LiTV  
⑥ 註冊LiTV會員，就可以享受看不完的電視頻道啦～

手把手和你一起更新 ▶️ bit.ly/2t7W6HP 
趕快告訴身邊親朋好友這個大好康～把握機會入手台灣最熱賣的 #小米盒子 😎",,1368,1148
2017-07-11 04:05:00+00:00,360450250740751_1351640414955058,"【 #小米橙色跑台灣站 來了！ 7月12日中午開始報名 】

🎉 報名送： 報名就送小米行動電源 5000、橙色跑束口袋、T恤、多彩手環等多樣好禮，還會捐出NT$100給 陽光基金會，一塊挺陽光！

🎉 線上抽：8月4日前分享po文+留言，就有機會抽小米手環 2、小米頭戴式耳機 升級版 ▶️ bit.ly/2tHt57T

🎉 開跑贏：跑步贏大獎，現場抽小米6、小米Max 2、米家掃地機器人等大獎  

🎉 趣味玩：水槍大戰、泡沫地帶...還有超萌大型米兔出沒，各種趣味關卡與驚喜等你來體驗！

限額1000名，相招好友跟小米一起奔跑，一塊挺陽光！

活動詳情請見 ▶️  bit.ly/2tCcDHN",,1653,596
2017-07-10 04:12:00+00:00,360450250740751_1346894915429608,"【 小米旅行季 7/4-7/11 💦  】
小米路由器Pro，打造全新一代的智慧家庭中心，夠快夠強，現在現買現省200。做個小調查，你們家最多曾經有多少裝置同時上網？

小米旅行季最後兩天，趕緊把握！優惠商品再用現金券省更多，每天早上10點記得登入小米帳號天天領取現金券！
快＠朋友 #和小米一起去旅行

💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",,248,5
2017-07-09 04:44:00+00:00,360450250740751_1346898218762611,"【 小米旅行季 7/4-7/11 💦  夏日小物 】
你想遇見怎麼樣的夏天？
小米圈鐵耳機帶來美聲，還是小米自拍桿留下的回憶？
小米 2 Port USB充電器讓你有個分享的假期，還是小米手環記錄走過的一步？
小米隨身風扇吹過的沁涼，還是小米頭戴式耳機升級的震撼音質？

現在，你通通能擁有！

#小米旅行季 提供超多優惠，現在還有折上折！優惠商品再用現金券省更多，每天早上10點記得登入小米帳號天天領取現金券！
快＠朋友 #和小米一起去旅行
💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",小米台灣 Mi Taiwan added 6 new photos.,258,3
2017-07-08 04:33:00+00:00,360450250740751_1347890915330008,"小米Max 2 大螢幕更大電量，5300mAh 行動電源級的大電量，還可以幫其他手機充電*！

做個小調查：手機還有___%電量你會充電？ 

下週四 7/13 中午 mi.com 開賣！ 

*搭配使用Type C OTG 轉接線",,683,8
2017-07-07 03:54:00+00:00,360450250740751_1346922128760220,"【  小米旅行季 7/4-7/11 💦   】
夏天想爽爽待在家，必備米家三寶現在通通有優惠：

🔅米家LED智慧檯燈省100元，限時價$895
🔅米家掃地機器人 $8,895，送虛擬牆 (價值＄255)
🔅小米空氣淨化器 2 省300元，限時價$3,695

@你最需要三寶的朋友吧！

#小米旅行季 提供超多優惠，現在還有折上折！優惠商品再用現金券省更多，快把三寶帶回家！

💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",,202,7
2017-07-06 03:50:00+00:00,360450250740751_1345045925614507,"旅行中需要…
🗨️電量？小米行動電源2 10000
🗨️音樂？小米頭戴式耳機 輕鬆版、隨身藍牙喇叭
🗨️背包？小米極簡都市雙肩包、小米多功能都市休閒胸包
#小米旅行季 提供超多優惠，現在還有折上折！優惠商品再用現金券省更多，每天早上10點記得登入小米帳號天天領取現金券！

快＠朋友 #和小米一起去旅行

💦 活動規則請見 👉🏻 bit.ly/2uzSIGT",小米台灣 Mi Taiwan added 7 new photos.,339,4
2017-07-05 10:40:38+00:00,360450250740751_1346026598849773,"今天娛樂大頭條，宋慧喬跟宋仲基要結婚啦！
究～竟～雙宋是在什麼時候擦出愛的火花呢？小米盒子x愛奇藝帶你重溫太陽的後裔經典橋段～

現在購買小米盒子，立即省下100元，還有折上折，用現金券省更多！
還隨盒贈送 愛奇藝VIP季卡(價值657元)喔😎

#小米旅行季 7/4-7/11 
超多優惠，活動規則請見 👉 bit.ly/2uzSIGT",,315,6
2017-07-05 04:00:00+00:00,360450250740751_1341074216011678,"【  #小米橙色跑 來了！ 分享抽好禮 】
年度米粉盛會 #小米橙色跑 來了！在這裡，奔跑不只有速度和激情，這次小米與  陽光基金會  攜手，每一人報名就捐出NT$100給陽光基金會，一塊挺陽光！ 還準備了各種趣味關卡，等你來參加！ 7月12日報名開始，限額1000名。

🎉 報名送： 報名就送小米行動電源 5000、橙色跑束口袋、T恤、多彩手環等多樣好禮，還會捐出NT$100給 陽光基金會，一塊挺陽光！
🎉 線上抽：8月4日前分享po文+留言，就有機會抽小米手環 2、小米頭戴式耳機 升級版 ▶️ bit.ly/2tHt57T
🎉 開跑贏：跑步贏大獎，現場抽小米6、小米Max 2、米家掃地機器人等大獎
🎉 趣味玩：水槍大戰、泡沫地帶...還有超萌大型米兔出沒，各種趣味關卡與驚喜等你來體驗！

8月4日前分享本文+留言@朋友 
""小米橙色跑來了！每一人報名就捐出NT$100給陽光基金會，一塊挺陽光！“
抽以下獎品各兩個，送給你和你朋友。 
✔️  小米手環 2 
✔️  小米頭戴式耳機升級版 

跟小米一起奔跑，一塊挺陽光！",,1465,1674
2017-07-04 04:16:00+00:00,360450250740751_1344829258969507,"【 小米旅行季 7/4-7/11 💦  夏日新機 】
炎炎夏日換新機，你最想要哪一支？

👍🏻  小米Note 2  ▶ 送小米 2 Port USB 充電器 + 小米行動電源5000 銀色（價值 NT$ 510）
❤️  小米5s Plus ▶ 送小米 2 Port USB 充電器 + 小米行動電源5000 銀色（價值 NT$ 510）
😆  紅米Note 4X ▶送小米活塞耳機清新版 (價值 NT$ 195）

😮  小米Max 2 ▶ 熱賣新品，大螢幕更大電量， 7/6 中午 mi.com 開賣！ 

💦 每天早上10點，登入小米帳號天天領取NT$50、NT$120、NT$200 現金券
超多優惠，活動規則請見 👉🏻 bit.ly/2uzSIGT
#和小米一起去旅行",小米台灣 Mi Taiwan added 4 new photos.,408,4
2017-07-03 13:34:00+00:00,360450250740751_1300895976696169,"紅米Note 4X磨砂黑 4GB+64GB，明天早上10點 mi.com 開賣。
喜歡永恆的經典色-黑色的舉手！🙋‍♂️
5.5吋多彩金屬機身＋4100mAh超長續航👉👉 bit.ly/2lgVZJq

【 遇見夏天 小米旅行季 7/4-7/11 】
超多優惠，明早10點 mi.com 不見不散！
活動規則請見 👉🏻 bit.ly/2uzSIGT
#和小米一起去旅行",,579,11
2017-07-03 11:19:28+00:00,360450250740751_1337287989723634,"夏日新心情，換個顏色吧～小米手環 2代多彩腕帶 #藍色 明天早上10點 mi.com 開賣！
說說運動時喜歡搭配哪個顏色呢？🎨

【 遇見夏天 小米旅行季 7/4-7/11 】
超多優惠，明早10點 mi.com 不見不散！
活動規則請見 👉🏻 bit.ly/2uzSIGT
#和小米一起去旅行",,780,21
